morose woman cries._int_1
morose woman shouts._int_1
morose man cries._int_1
morose man shouts._int_1
morose kid cries._int_1
morose kid shouts._int_1
cheerful woman cries._int_0
cheerful woman laughs._int_0
cheerful woman shouts._int_0
cheerful man cries._int_0
cheerful man shouts._int_0
cheerful man laughs._int_0
cheerful kid cries._int_0
cheerful kid shouts._int_0
cheerful kid laughs._int_0
joyful woman cries._int_0
joyful woman shouts._int_0
joyful woman laughs._int_0
joyful man cries._int_0
joyful man shouts._int_0
joyful man laughs._int_0
joyful kid cries._int_0
joyful kid shouts._int_0
joyful kid laughs._int_0
gloomy woman cries._int_1
gloomy woman shouts._int_1
gloomy man cries._int_1
gloomy man shouts._int_1
gloomy kid cries._int_1
gloomy kid shouts._int_1
woman grieves woman._tra_1
woman grieves man._tra_1
woman grieves kid._tra_1
woman entertains woman._tra_0
woman entertains man._tra_0
woman entertains kid._tra_0
man grieves woman._tra_1
man grieves man._tra_1
man grieves kid._tra_1
man entertains woman._tra_0
man entertains man._tra_0
man entertains kid._tra_0
kid grieves woman._tra_1
kid grieves man._tra_1
kid grieves kid._tra_1
kid entertains woman._tra_0
kid entertains man._tra_0
kid entertains kid._tra_0
old woman grieves kid._tra_1
old woman entertains woman._tra_0
old woman entertains man._tra_0
old woman entertains kid._tra_0
old man grieves woman._tra_1
old man grieves man._tra_1
old man grieves kid._tra_1
old man entertains woman._tra_0
old man entertains man._tra_0
old man entertains kid._tra_0
young woman grieves woman._tra_1
young woman grieves man._tra_1
young woman grieves kid._tra_1
young woman entertains woman._tra_0
young woman entertains man._tra_0
young woman entertains kid._tra_0
young man grieves woman._tra_1
young man grieves man._tra_1
young man grieves kid._tra_1
young man entertains woman._tra_0
young man entertains man._tra_0
young man entertains kid._tra_0
old woman grieves woman._tra_1
old woman grieves man._tra_1
old woman grieves kid._tra_1
old woman entertains woman._tra_0
old woman entertains man._tra_0
old woman entertains kid._tra_0
old man grieves woman._tra_1
old man grieves man._tra_1
old man grieves kid._tra_1
old man entertains woman._tra_0
old man entertains man._tra_0
old man entertains kid._tra_0
young woman grieves woman._tra_1
young woman grieves man._tra_1
young woman grieves kid._tra_1
young woman entertains woman._tra_0
young woman entertains man._tra_0
young woman entertains kid._tra_0
young man grieves woman._tra_1
young man grieves man._tra_1
young man grieves kid._tra_1
young man entertains woman._tra_0
young man entertains man._tra_0
young man entertains kid._tra_0
woman grieves morose woman._tra_1
woman grieves morose man._tra_1
woman grieves morose kid._tra_1
man grieves morose woman._tra_1
man grieves morose man._tra_1
man grieves morose kid._tra_1
kid grieves morose woman._tra_1
kid grieves morose man._tra_1
kid grieves morose kid._tra_1
woman entertains cheerful woman._tra_0
woman entertains cheerful man._tra_0
woman entertains cheerful kid._tra_0
man entertains cheerful woman._tra_0
man entertains cheerful man._tra_0
man entertains cheerful kid._tra_0
kid entertains cheerful woman._tra_0
kid entertains cheerful man._tra_0
kid entertains cheerful kid._tra_0
woman entertains joyful woman._tra_0
woman entertains joyful man._tra_0
woman entertains joyful kid._tra_0
man entertains joyful woman._tra_0
man entertains joyful man._tra_0
man entertains joyful kid._tra_0
kid entertains joyful woman._tra_0
kid entertains joyful man._tra_0
kid entertains joyful kid._tra_0
woman grieves gloomy woman._tra_1
woman grieves gloomy man._tra_1
woman grieves gloomy kid._tra_1
man grieves gloomy woman._tra_1
man grieves gloomy man._tra_1
man grieves gloomy kid._tra_1
kid grieves gloomy woman._tra_1
kid grieves gloomy man._tra_1
kid grieves gloomy kid._tra_1
woman grieves old woman._tra_1
woman grieves old man._tra_1
woman entertains old woman._tra_0
woman entertains old man._tra_0
man grieves old woman._tra_1
man grieves old man._tra_1
man entertains old woman._tra_0
man entertains old man._tra_0
kid grieves old woman._tra_1
kid grieves old man._tra_1
kid entertains old woman._tra_0
kid entertains old man._tra_0
woman grieves young woman._tra_1
woman grieves young man._tra_1
woman entertains young woman._tra_0
woman entertains young man._tra_0
man grieves young woman._tra_1
man grieves young man._tra_1
man entertains young woman._tra_0
man entertains young man._tra_0
kid grieves young woman._tra_1
kid grieves young man._tra_1
kid entertains young woman._tra_0
kid entertains young man._tra_0
woman grieves old woman._tra_1
woman grieves old man._tra_1
woman entertains old woman._tra_0
woman entertains old man._tra_0
man grieves old woman._tra_1
man grieves old man._tra_1
man entertains old woman._tra_0
man entertains old man._tra_0
kid grieves old woman._tra_1
kid grieves old man._tra_1
kid entertains old woman._tra_0
kid entertains old man._tra_0
woman grieves young woman._tra_1
woman grieves young man._tra_1
woman entertains young woman._tra_0
woman entertains young man._tra_0
man grieves young woman._tra_1
man grieves young man._tra_1
man entertains young woman._tra_0
man entertains young man._tra_0
kid grieves young woman._tra_1
kid grieves young man._tra_1
kid entertains young woman._tra_0
kid entertains young man._tra_0
